# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,4.5,0.0,0,3.0,0,0.0,0.0,0.0
 0.08962094993173612,2.012047872,4.5,0.0,0.2688628497952083,2.999999999999999,0,0.0,0.0,0.0
 0.12699337515529402,2.024190976,4.5,0.0,0.380980125465882,3.0000000000000004,0,0.0,0.0,0.0
 0.15583868582608124,2.036428544,4.5,0.0,0.4675160574782436,2.9999999999999982,0,0.0,0.0,0.0
 0.1802956978595622,2.048759808,4.5,0.0,0.5408870935786865,2.9999999999999987,0,0.0,0.0,0.0
 0.20196369310678908,2.061184,4.5,0.0,0.6058910793203671,3.0000000000000013,0,0.0,0.0,0.0
 0.22166093025159,2.0737003520000004,4.5,0.0,0.6649827907547698,2.9999999999999973,0,0.0,0.0,0.0
 0.239872321593523,2.086308096,4.5,0.0,0.7196169647805689,3.000000000000003,0,0.0,0.0,0.0
 0.2569130384650292,2.0990064640000003,4.5,0.0,0.7707391153950874,2.9999999999999933,0,0.0,0.0,0.0
 0.2730014505455967,2.111794688,4.5,0.0,0.81900435163679,3.0000000000000036,0,0.0,0.0,0.0
 0.28829614403711096,2.124672,4.5,0.0,0.8648884321113326,2.999999999999993,0,0.0,0.0,0.0
 0.30291652535530883,2.137637632,4.5,0.0,0.9087495760659261,2.9999999999999925,0,0.0,0.0,0.0
 0.3169551135413342,2.150690816,4.5,0.0,0.9508653406240022,2.999999999999996,0,0.0,0.0,0.0
 0.3304852835856185,2.163830784,4.5,0.0,0.9914558507568552,3.000000000000004,0,0.0,0.0,0.0
 0.3435663623426096,2.177056768,4.5,0.0,1.0306990870278285,3.0000000000000044,0,0.0,0.0,0.0
 0.35624710525139747,2.1903680000000003,4.5,0.0,1.068741315754192,3.0,0,0.0,0.0,0.0
 0.36856814114443864,2.203763712,4.5,0.0,1.1057044234333158,3.0000000000000133,0,0.0,0.0,0.0
 0.38056373622999523,2.217243136,4.5,0.0,1.1416912086899855,3.0,0,0.0,0.0,0.0
 0.39226309538369797,2.230805504,4.5,0.0,1.1767892861510936,2.999999999999986,0,0.0,0.0,0.0
 0.40369134083686603,2.244450048,4.5,0.0,1.2110740225105978,3.000000000000005,0,0.0,0.0,0.0
 0.4148702608446805,2.2581759999999997,4.5,0.0,1.2446107825340411,2.999999999999995,0,0.0,0.0,0.0
 0.42581889107929455,2.271982592,4.5,0.0,1.2774566732378834,3.000000000000005,0,0.0,0.0,0.0
 0.43655397222642106,2.285869056,4.5,0.0,1.309661916679263,3.0,0,0.0,0.0,0.0
 0.44709031451523706,2.2998346240000003,4.5,0.0,1.3412709435457109,2.9999999999999947,0,0.0,0.0,0.0
 0.4574410912893595,2.313878528,4.5,0.0,1.3723232738680782,3.0,0,0.0,0.0,0.0
 0.46761807778000486,2.328,4.5,0.0,1.4028542333400142,3.0,0,0.0,0.0,0.0
 0.4776318470677325,2.3421982720000005,4.5,0.0,1.4328955412031972,3.0000000000000053,0,0.0,0.0,0.0
 0.4874919322409349,2.3564725760000003,4.5,0.0,1.4624757967228044,2.9999999999999942,0,0.0,0.0,0.0
 0.4972069616031809,2.3708221440000004,4.5,0.0,1.4916208848095425,3.0000000000000115,0,0.0,0.0,0.0
 0.5067847721995341,2.3852462080000003,4.5,0.0,1.520354316598602,2.9999999999999885,0,0.0,0.0,0.0
 0.5162325057568539,2.399744,4.5,0.0,1.5486975172705613,3.0,0,0.0,0.0,0.0
 0.525556690250126,2.414314752,4.5,0.0,1.5766700707503776,3.0,0,0.0,0.0,0.0
 0.5347633096364537,2.4289576960000003,4.5,0.0,1.6042899289093608,3.000000000000012,0,0.0,0.0,0.0
 0.5438578637842798,2.4436720640000003,4.5,0.0,1.6315735913528393,3.000000000000012,0,0.0,0.0,0.0
 0.552845420227632,2.4584570880000003,4.5,0.0,1.6585362606828957,3.0,0,0.0,0.0,0.0
 0.5617306590647636,2.4733120000000004,4.5,0.0,1.6851919771942907,3.0,0,0.0,0.0,0.0
 0.5705179120763871,2.488236032,4.5,0.0,1.711553736229161,2.9999999999999747,0,0.0,0.0,0.0
 0.5792111969451793,2.5032284160000007,4.5,0.0,1.7376335908355374,2.9999999999999742,0,0.0,0.0,0.0
 0.5878142473038006,2.5182883840000003,4.5,0.0,1.7634427419114014,3.000000000000013,0,0.0,0.0,0.0
 0.5963305392146208,2.5334151680000003,4.5,0.0,1.7889916176438618,3.0,0,0.0,0.0,0.0
 0.6047633145840338,2.548608,4.5,0.0,1.8142899437521007,2.9999999999999867,0,0.0,0.0,0.0
 0.61311560193273,2.5638661120000004,4.5,0.0,1.8393468057981892,2.9999999999999867,0,0.0,0.0,0.0
 0.6213902348766035,2.5791887360000003,4.5,0.0,1.8641707046298097,2.9999999999999867,0,0.0,0.0,0.0
 0.629589868618188,2.5945751040000005,4.5,0.0,1.8887696058545633,3.0000000000000133,0,0.0,0.0,0.0
 0.6377169947032413,2.6100244480000003,4.5,0.0,1.913150984109723,2.9999999999999725,0,0.0,0.0,0.0
 0.6457739542595385,2.6255360000000003,4.5,0.0,1.9373218627786146,2.9999999999999862,0,0.0,0.0,0.0
 0.6537629499036078,2.6411089920000004,4.5,0.0,1.9612888497108227,3.000000000000028,0,0.0,0.0,0.0
 0.6616860564749223,2.6567426560000005,4.5,0.0,1.985058169424766,2.999999999999986,0,0.0,0.0,0.0
